

Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1979.24,3194.1373,1.0000,1.0000,-44.988,-0.145

Date/Time:,26-Aug-11 06:48:40 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1983.78,3195.5441,1.0000,1.0000,-44.983,-0.143

Date/Time:,26-Aug-11 06:36:39 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1974.81,3176.8233,1.0000,1.0000,-44.982,-0.134

Date/Time:,27-Aug-11 12:23:10 AM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2025.24,3402.0900,1.0000,1.0000,-45.015,-0.189

Date/Time:,27-Aug-11 12:11:08 AM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2020.91,3384.4866,1.0000,1.0000,-45.012,-0.182

Date/Time:,26-Aug-11 11:59:11 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2018.81,3391.5547,1.0000,1.0000,-45.012,-0.185

Date/Time:,26-Aug-11 11:47:11 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2026.95,3421.8281,1.0000,1.0000,-45.013,-0.182

Date/Time:,26-Aug-11 11:35:15 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2012.87,3351.4438,1.0000,1.0000,-45.012,-0.181

Date/Time:,26-Aug-11 11:23:15 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad0 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
