Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1975.62,3177.1656,1,1,-44.991,-0.147
,,,,,,,
Date/Time:,8/26/2011 19:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1981.11,3197.161,1,1,-44.992,-0.149
,,,,,,,
Date/Time:,8/26/2011 19:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1978.89,3197.3279,1,1,-44.988,-0.145
,,,,,,,
Date/Time:,8/26/2011 19:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1985.22,3207.5716,1,1,-44.988,-0.141
,,,,,,,
Date/Time:,8/26/2011 19:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1979.24,3194.1373,1,1,-44.988,-0.145
,,,,,,,
Date/Time:,8/26/2011 18:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1983.78,3195.5441,1,1,-44.983,-0.143
,,,,,,,
Date/Time:,8/26/2011 18:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 SCF,,,,,,
Stage group:,4X Pad0 SCF,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1974.81,3176.8233,1,1,-44.982,-0.134
,,,,,,,
Date/Time:,8/27/2011 0:23,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2025.24,3402.09,1,1,-45.015,-0.189
,,,,,,,
Date/Time:,8/27/2011 0:11,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2020.91,3384.4866,1,1,-45.012,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:59,,,,,,
Film name:,SQC Acq-SR OCD VIS,,,,,,
Stage group:,4X Pad0 Vis,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
